01:03:48 Loaded 500 cached emails
01:03:48 Already done: 25
01:03:48 Remaining to process: 453
01:03:48 Split into 2 chunks of size ~227
01:03:48 Starting workers...
01:56:35 [278/453] 19dff9eb... (3167s, 0.09/s, ETA 1994s)
01:56:37 [279/453] 19df6440... (3169s, 0.09/s, ETA 1977s)
01:56:47 [280/453] 19df61b1... (3179s, 0.09/s, ETA 1964s)
01:56:48 [281/453] 19dff9e8... (3180s, 0.09/s, ETA 1946s)
01:56:56 [282/453] 19dff9e7... (3188s, 0.09/s, ETA 1933s)
01:57:02 [283/453] 19df6192... (3194s, 0.09/s, ETA 1919s)
01:57:08 [284/453] 19dff9e7... (3200s, 0.09/s, ETA 1904s)
01:57:15 [285/453] 19df60f7... (3207s, 0.09/s, ETA 1891s)
01:57:20 [286/453] 19dff9e6... (3212s, 0.09/s, ETA 1876s)
01:57:28 [287/453] 19df6014... (3220s, 0.09/s, ETA 1862s)
01:57:30 [288/453] 19dff9e7... (3222s, 0.09/s, ETA 1846s)
01:57:44 [289/453] 19dff9e6... (3236s, 0.09/s, ETA 1837s)
01:57:50 [290/453] 19df5e2e... (3242s, 0.09/s, ETA 1822s)
01:57:56 [291/453] 19dff9ed... (3248s, 0.09/s, ETA 1808s)
01:58:02 [292/453] 19df5a80... (3254s, 0.09/s, ETA 1794s)
01:58:04 [293/453] 19dff9ec... (3256s, 0.09/s, ETA 1778s)
01:58:11 [294/453] 19dff9e4... (3263s, 0.09/s, ETA 1765s)
01:58:13 [295/453] 19df59d6... (3265s, 0.09/s, ETA 1749s)
01:58:22 [296/453] 19dff9e4... (3274s, 0.09/s, ETA 1736s)
01:58:24 [297/453] 19df7e7a... (3276s, 0.09/s, ETA 1721s)
01:58:32 [298/453] 19dff9e7... (3284s, 0.09/s, ETA 1708s)
01:58:39 [299/453] 19df5780... (3291s, 0.09/s, ETA 1695s)
01:58:41 [300/453] 19dff9e4... (3293s, 0.09/s, ETA 1680s)
01:58:49 [301/453] 19dff9df... (3301s, 0.09/s, ETA 1667s)
01:58:50 [302/453] 19df744a... (3302s, 0.09/s, ETA 1651s)
01:58:56 [303/453] 19dff9df... (3308s, 0.09/s, ETA 1638s)
01:59:02 [304/453] 19df76e0... (3314s, 0.09/s, ETA 1624s)
01:59:08 [305/453] 19dff9de... (3320s, 0.09/s, ETA 1611s)
01:59:13 [306/453] 19dff9de... (3325s, 0.09/s, ETA 1597s)
01:59:19 [307/453] 19df67d6... (3331s, 0.09/s, ETA 1584s)
01:59:22 [308/453] 19dff9d9... (3334s, 0.09/s, ETA 1570s)
01:59:28 [309/453] 19dff9d9... (3340s, 0.09/s, ETA 1557s)
01:59:35 [310/453] 19df577a... (3347s, 0.09/s, ETA 1544s)
01:59:37 [311/453] 19dff9d8... (3349s, 0.09/s, ETA 1529s)
01:59:45 [312/453] 19dff9d7... (3357s, 0.09/s, ETA 1517s)
01:59:53 [313/453] 19df55f2... (3365s, 0.09/s, ETA 1505s)
01:59:57 [314/453] 19dff9e9... (3369s, 0.09/s, ETA 1492s)
02:00:04 [315/453] 19df5202... (3376s, 0.09/s, ETA 1479s)
02:00:07 [316/453] 19dff9de... (3379s, 0.09/s, ETA 1465s)
02:00:18 [317/453] 19dff9d5... (3390s, 0.09/s, ETA 1454s)
02:00:22 [318/453] 19df802f... (3394s, 0.09/s, ETA 1441s)
02:00:29 [319/453] 19dff9e5... (3401s, 0.09/s, ETA 1429s)
02:00:36 [320/453] 19df8025... (3408s, 0.09/s, ETA 1416s)
02:00:41 [321/453] 19dff9e5... (3413s, 0.09/s, ETA 1404s)
02:00:52 [322/453] 19df7706... (3424s, 0.09/s, ETA 1393s)
02:00:53 [323/453] 19dff9e1... (3425s, 0.09/s, ETA 1378s)
02:01:04 [324/453] 19dff9d6... (3436s, 0.09/s, ETA 1368s)
02:01:10 [325/453] 19df5437... (3442s, 0.09/s, ETA 1356s)
02:01:12 [326/453] 19dff9ce... (3444s, 0.09/s, ETA 1342s)
02:01:23 [327/453] 19dff9c8... (3455s, 0.09/s, ETA 1331s)
02:01:25 [328/453] 19df5607... (3457s, 0.09/s, ETA 1317s)
02:01:33 [329/453] 19df53b5... (3465s, 0.09/s, ETA 1306s)
02:01:35 [330/453] 19dff9c6... (3467s, 0.10/s, ETA 1292s)
02:01:45 [331/453] 19df53b5... (3477s, 0.10/s, ETA 1281s)
02:01:47 [332/453] 19dff9c5... (3479s, 0.10/s, ETA 1268s)
02:01:57 [333/453] 19df5674... (3489s, 0.10/s, ETA 1257s)
02:01:58 [334/453] 19dff9c7... (3490s, 0.10/s, ETA 1244s)
02:02:09 [335/453] 19df50bc... (3501s, 0.10/s, ETA 1233s)
02:02:10 [336/453] 19dff9c5... (3502s, 0.10/s, ETA 1220s)
02:02:20 [337/453] 19df501e... (3512s, 0.10/s, ETA 1209s)
02:02:22 [338/453] 19dff9c4... (3514s, 0.10/s, ETA 1196s)
02:02:33 [339/453] 19dff9c1... (3525s, 0.10/s, ETA 1185s)
02:02:38 [340/453] 19df4e4e... (3530s, 0.10/s, ETA 1173s)
02:02:45 [341/453] 19dff9be... (3538s, 0.10/s, ETA 1162s)
02:02:57 [342/453] 19dff9bd... (3549s, 0.10/s, ETA 1152s)
02:02:57 [343/453] 19df51a2... (3549s, 0.10/s, ETA 1138s)
02:03:06 [344/453] 19dff9bb... (3558s, 0.10/s, ETA 1127s)
02:03:14 [345/453] 19df5078... (3566s, 0.10/s, ETA 1116s)
02:03:17 [346/453] 19dff9bb... (3570s, 0.10/s, ETA 1104s)
02:03:24 [347/453] 19df4e3a... (3576s, 0.10/s, ETA 1092s)
02:03:29 [348/453] 19dff9b9... (3581s, 0.10/s, ETA 1081s)
